week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV001,STR001,228,114,162,180,False
2024-01-01,BEV001,STR002,477,273,56,694,False
2024-01-01,BEV001,STR003,486,290,157,619,False
2024-01-01,BEV001,STR004,412,102,64,450,False
2024-01-01,BEV001,STR005,171,144,124,191,False
2024-01-01,BEV001,STR006,319,52,91,280,False
2024-01-01,BEV001,STR007,197,86,87,196,False
2024-01-01,BEV001,STR008,284,180,165,299,False
2024-01-01,BEV001,STR009,248,58,102,204,False
2024-01-01,BEV001,STR010,500,126,124,502,False
2024-01-01,BEV001,STR011,428,265,96,597,False
2024-01-01,BEV001,STR012,252,94,81,265,False
2024-01-01,BEV001,STR013,292,101,97,296,False
2024-01-01,BEV001,STR014,493,223,121,595,False
2024-01-01,BEV001,STR015,223,237,93,367,False
2024-01-01,BEV001,STR016,464,99,169,394,False
2024-01-01,BEV001,STR017,166,79,58,187,False
2024-01-01,BEV001,STR018,323,50,102,271,False
2024-01-01,BEV001,STR019,392,89,73,408,False
2024-01-01,BEV001,STR020,372,288,138,522,False
2024-01-01,BEV001,STR021,460,289,66,683,False
2024-01-01,BEV001,STR022,299,108,62,345,False
2024-01-01,BEV001,STR023,401,152,332,221,False
2024-01-01,BEV001,STR024,312,82,82,312,False
2024-01-01,BEV001,STR025,417,210,123,504,False
2024-01-01,BEV002,STR001,212,147,67,292,False
2024-01-01,BEV002,STR002,156,165,102,219,False
2024-01-01,BEV002,STR003,168,129,152,145,False
2024-01-01,BEV002,STR004,401,85,77,409,False
2024-01-01,BEV002,STR005,402,299,281,420,False
2024-01-01,BEV002,STR006,398,226,84,540,False
2024-01-01,BEV002,STR007,427,111,176,362,False
2024-01-01,BEV002,STR008,221,255,88,388,False
2024-01-01,BEV002,STR009,188,187,297,78,False
2024-01-01,BEV002,STR010,238,250,136,352,False
2024-01-01,BEV002,STR011,323,50,85,288,False
2024-01-01,BEV002,STR012,435,239,55,619,False
2024-01-01,BEV002,STR013,317,293,94,516,False
2024-01-01,BEV002,STR014,175,116,124,167,False
2024-01-01,BEV002,STR015,359,278,133,504,False
2024-01-01,BEV002,STR016,208,137,138,207,False
2024-01-01,BEV002,STR017,178,123,367,0,True
2024-01-01,BEV002,STR018,391,245,90,546,False
2024-01-01,BEV002,STR019,399,127,54,472,False
2024-01-01,BEV002,STR020,163,55,61,157,False
2024-01-01,BEV002,STR021,443,266,112,597,False
2024-01-01,BEV002,STR022,219,89,160,148,False
2024-01-01,BEV002,STR023,269,66,130,205,False
2024-01-01,BEV002,STR024,196,104,78,222,False
2024-01-01,BEV002,STR025,302,127,84,345,False
2024-01-01,BEV003,STR001,359,268,50,577,False
2024-01-01,BEV003,STR002,186,128,95,219,False
2024-01-01,BEV003,STR003,215,263,72,406,False
2024-01-01,BEV003,STR004,324,167,130,361,False
2024-01-01,BEV003,STR005,494,236,177,553,False
2024-01-01,BEV003,STR006,442,207,111,538,False
2024-01-01,BEV003,STR007,224,292,61,455,False
2024-01-01,BEV003,STR008,322,114,91,345,False
2024-01-01,BEV003,STR009,309,58,51,316,False
2024-01-01,BEV003,STR010,253,126,87,292,False
2024-01-01,BEV003,STR011,332,116,88,360,False
2024-01-01,BEV003,STR012,271,238,221,288,False
2024-01-01,BEV003,STR013,249,113,144,218,False
2024-01-01,BEV003,STR014,440,60,73,427,False
2024-01-01,BEV003,STR015,445,163,79,529,False
2024-01-01,BEV003,STR016,438,60,49,449,False
2024-01-01,BEV003,STR017,170,259,187,242,False
2024-01-01,BEV003,STR018,301,78,90,289,False
2024-01-01,BEV003,STR019,342,237,211,368,False
2024-01-01,BEV003,STR020,263,107,86,284,False
2024-01-01,BEV003,STR021,445,124,49,520,False
2024-01-01,BEV003,STR022,465,54,151,368,False
2024-01-01,BEV003,STR023,151,245,63,333,False
2024-01-01,BEV003,STR024,342,186,75,453,False
2024-01-01,BEV003,STR025,233,181,54,360,False
2024-01-01,BEV004,STR001,350,200,82,468,False
2024-01-01,BEV004,STR002,443,214,122,535,False
2024-01-01,BEV004,STR003,437,248,60,625,False
2024-01-01,BEV004,STR004,263,129,69,323,False
2024-01-01,BEV004,STR005,376,118,57,437,False
2024-01-01,BEV004,STR006,474,98,127,445,False
2024-01-01,BEV004,STR007,284,76,43,317,False
2024-01-01,BEV004,STR008,382,71,75,378,False
2024-01-01,BEV004,STR009,485,157,69,573,False
2024-01-01,BEV004,STR010,257,114,60,311,False
2024-01-01,BEV004,STR011,310,153,123,340,False
2024-01-01,BEV004,STR012,323,164,66,421,False
2024-01-01,BEV004,STR013,203,116,80,239,False
2024-01-01,BEV004,STR014,291,248,64,475,False
2024-01-01,BEV004,STR015,438,162,77,523,False
2024-01-01,BEV004,STR016,366,67,116,317,False
2024-01-01,BEV004,STR017,197,204,112,289,False
2024-01-01,BEV004,STR018,178,272,47,403,False
2024-01-01,BEV004,STR019,188,200,139,249,False
2024-01-01,BEV004,STR020,327,137,202,262,False
2024-01-01,BEV004,STR021,186,243,158,271,False
2024-01-01,BEV004,STR022,326,166,142,350,False
2024-01-01,BEV004,STR023,444,169,131,482,False
2024-01-01,BEV004,STR024,281,108,66,323,False
2024-01-01,BEV004,STR025,394,175,242,327,False
2024-01-01,BEV005,STR001,202,240,114,328,False
2024-01-01,BEV005,STR002,364,243,258,349,False
2024-01-01,BEV005,STR003,373,266,156,483,False
2024-01-01,BEV005,STR004,285,210,127,368,False
2024-01-01,BEV005,STR005,473,259,55,677,False
2024-01-01,BEV005,STR006,184,198,81,301,False
2024-01-01,BEV005,STR007,434,214,63,585,False
2024-01-01,BEV005,STR008,319,258,69,508,False
2024-01-01,BEV005,STR009,361,168,144,385,False
2024-01-01,BEV005,STR010,493,111,132,472,False
2024-01-01,BEV005,STR011,499,114,131,482,False
2024-01-01,BEV005,STR012,262,199,176,285,False
2024-01-01,BEV005,STR013,386,58,50,394,False
2024-01-01,BEV005,STR014,397,63,52,408,False
2024-01-01,BEV005,STR015,399,206,91,514,False
2024-01-01,BEV005,STR016,400,110,58,452,False
2024-01-01,BEV005,STR017,356,283,162,477,False
